//Fill Tile
fill:0
8,3,0
8,4,0
8,5,0
9,6,0
7,2,0
6,6,-1
6,6,-2
6,6,-3
6,6,-4
6,6,-5
4,6,-6
3,5,-6
3,4,-6
3,3,-6
2,2,-6
5,2,-5
5,2,-4
5,2,-3
5,2,-2
5,2,-1
1,3,-1
1,5,-1
1,4,-1
1,3,-2
1,4,-2
1,5,-2
1,5,-3
1,4,-3
1,3,-3
1,3,-4
1,4,-4
1,5,-4
1,5,-5
1,3,-5
1,4,-5
object,3,-4,30
object,4,-4,30
object,5,-4,30
object,5,-3,30
object,4,-3,30
object,3,-3,30
object,3,-5,28
object,4,-5,28
object,5,-5,28
object,3,-2,29
object,4,-2,29
object,5,-2,29
object,5,-1,29
object,3,-1,29
object,4,-1,29
object,8,-9,21
object,10,-6,21
object,10,-1,21
object,4,-13,10
object,-1,-13,10
object,10,-15,10
object,13,-7,10
object,-2,2,15
object,-1,2,14
object,-3,2,13
object,0,2,11
object,1,2,11
object,2,2,11
object,3,2,11
object,4,2,11
object,5,2,11
object,6,2,11
object,7,2,11
object,8,2,17
object,8,1,12
object,8,0,18
object,9,0,11
object,10,0,11
object,11,0,11
object,12,0,17
object,12,-1,12
object,12,-2,12
object,12,-3,12
object,12,-4,12
object,12,-5,12
object,12,-6,19
object,11,-6,11
object,10,-6,16
object,10,-7,12
object,10,-8,12
object,10,-9,12
object,10,-10,12
object,10,-11,12
object,10,-12,12
object,10,-13,19
object,9,-13,11
object,8,-13,11
object,7,-13,11
object,6,-13,11
object,5,-13,11
object,4,-13,18
object,4,-12,17
object,3,-12,11
object,2,-12,14
object,1,-12,15
object,0,-12,13
object,-1,-12,18
object,-2,-11,13
object,-1,-11,17
object,-3,-11,11
object,-4,-11,11
object,-5,-11,18
object,-5,-10,12
object,-5,-9,12
object,-5,-8,12
object,-5,-7,12
object,-5,-6,12
object,-5,-5,12
object,-5,-4,12
object,-5,0,12
object,-5,1,12
object,-5,2,16
object,-4,2,11
object,-4,-9,23
object,-4,-8,23
object,-4,-8,22
object,-4,-7,22
object,-4,-7,24
object,-4,-6,24
object,-4,-5,25
object,-4,-4,26
object,-4,1,27
object,-4,0,27
object,-3,1,27
object,-5,-3,12
object,-5,-2,12
object,-5,-1,12
object,-5,-14,10
object,-9,-10,10
object,-8,-6,10
object,-8,-1,10
object,-10,3,10
object,-4,7,10
object,7,5,10
object,5,9,10
object,12,4,10
object,15,-1,10
object,16,0,21
object,18,-5,21
object,9,6,21
object,2,6,21
object,-7,2,21
